time,Relative Humidity
yyyy-mm-dd hh:mm:ss,%
2016-12-08 00:00:00,29.870362580128205
2016-12-15 00:00:00,90.19364065891968
2016-12-22 00:00:00,85.62086111111111
2016-12-29 00:00:00,89.36200396825397
2017-01-05 00:00:00,84.5455223138853
2017-01-12 00:00:00,89.05060515873016
2017-01-19 00:00:00,92.6115376984127
2017-01-26 00:00:00,80.0305753968254
2017-02-02 00:00:00,87.41600198412698
2017-02-09 00:00:00,68.4362952562431
2017-02-16 00:00:00,86.65238522059556
2017-02-23 00:00:00,72.8743253968254
2017-03-02 00:00:00,72.59234126984127
2017-03-09 00:00:00,75.0534623015873
2017-03-16 00:00:00,72.61543803948804
2017-03-23 00:00:00,55.30759786655933
2017-03-30 00:00:00,69.49714199456577
2017-04-06 00:00:00,69.24922484547574
2017-04-13 00:00:00,71.96946354883082
2017-04-20 00:00:00,62.069905574169965
2017-04-27 00:00:00,61.11622442779016
2017-05-04 00:00:00,75.29319645732689
2017-05-11 00:00:00,64.84745882590684
2017-05-18 00:00:00,52.69562239428231
2017-05-25 00:00:00,56.31007644197359
2017-06-01 00:00:00,61.188164682539686
2017-06-08 00:00:00,56.26287698412698
2017-06-15 00:00:00,55.63271825396826
2017-06-22 00:00:00,67.19451673785636
2017-06-29 00:00:00,76.80204529581961
2017-07-06 00:00:00,72.9948115079365
2017-07-13 00:00:00,62.28156746031746
2017-07-20 00:00:00,77.46857142857142
2017-07-27 00:00:00,63.476855194544726
2017-08-03 00:00:00,60.69159713945173
2017-08-10 00:00:00,71.36259678379989
2017-08-17 00:00:00,71.80709325396825
2017-08-24 00:00:00,66.75394083780027
2017-08-31 00:00:00,69.31088293650794
2017-09-07 00:00:00,74.06160714285714
2017-09-14 00:00:00,75.09960317460317
2017-09-21 00:00:00,84.55944444444444
2017-09-28 00:00:00,78.66978174603175
2017-10-05 00:00:00,85.8523115079365
2017-10-12 00:00:00,78.80848214285714
2017-10-19 00:00:00,88.50847222222222
2017-10-26 00:00:00,82.74066468253969
2017-11-02 00:00:00,87.3768115942029
2017-11-09 00:00:00,90.30875260494194
2017-11-16 00:00:00,89.65051587301588
2017-11-23 00:00:00,85.53488095238096
2017-11-30 00:00:00,88.6425496031746
2017-12-07 00:00:00,71.18076388888889
2017-12-14 00:00:00,92.47622023809524
2017-12-21 00:00:00,85.13224206349206
2017-12-28 00:00:00,83.79414682539682
2018-01-04 00:00:00,78.9895634920635
2018-01-11 00:00:00,85.02555555555556
2018-01-18 00:00:00,90.12418650793651
2018-01-25 00:00:00,86.95201388888889
2018-02-01 00:00:00,77.79024801587302
2018-02-08 00:00:00,78.11894841269842
2018-02-15 00:00:00,73.46597222222222
2018-02-22 00:00:00,59.76763888888889
2018-03-01 00:00:00,64.64232142857144
2018-03-08 00:00:00,84.35218253968254
2018-03-15 00:00:00,59.675853174603176
2018-03-22 00:00:00,76.88801397205589
2018-03-29 00:00:00,73.37866071428572
2018-04-05 00:00:00,56.26510912698413
2018-04-12 00:00:00,69.6934126984127
2018-04-19 00:00:00,58.367718253968256
2018-04-26 00:00:00,57.479642857142856
2018-05-03 00:00:00,50.34535714285714
2018-05-10 00:00:00,64.00569444444444
2018-05-17 00:00:00,51.93630952380953
2018-05-24 00:00:00,49.84565476190476
2018-05-31 00:00:00,63.066984126984124
2018-06-07 00:00:00,52.375238095238096
2018-06-14 00:00:00,53.12434523809524
2018-06-21 00:00:00,70.13454365079365
2018-06-28 00:00:00,45.60758928571428
2018-07-05 00:00:00,57.29045634920635
2018-07-12 00:00:00,64.18651785714286
2018-07-19 00:00:00,51.50899801587302
2018-07-26 00:00:00,52.8971130952381
2018-08-02 00:00:00,45.8193253968254
2018-08-09 00:00:00,55.729265873015876
2018-08-16 00:00:00,52.495416666666664
2018-08-23 00:00:00,55.21006944444444
2018-08-30 00:00:00,67.13248346490292
2018-09-06 00:00:00,56.479146825396825
2018-09-13 00:00:00,61.799007936507934
2018-09-20 00:00:00,65.18041666666667
2018-09-27 00:00:00,66.25688492063492
2018-10-04 00:00:00,72.19047619047619
2018-10-11 00:00:00,58.60480158730159
2018-10-18 00:00:00,75.35558531746032
2018-10-25 00:00:00,74.28266865079365
2018-11-01 00:00:00,80.28189484126985
2018-11-08 00:00:00,88.45066468253968
2018-11-15 00:00:00,79.31132936507936
2018-11-22 00:00:00,86.03595238095238
2018-11-29 00:00:00,81.45421626984127
2018-12-06 00:00:00,86.61680555555556
2018-12-13 00:00:00,85.1059623015873
2018-12-20 00:00:00,89.20482142857144
2018-12-27 00:00:00,86.55515873015872
2019-01-03 00:00:00,89.94813492063491
2019-01-10 00:00:00,84.94019841269841
2019-01-17 00:00:00,82.14093253968254
2019-01-24 00:00:00,85.11137896825397
2019-01-31 00:00:00,83.58049603174604
2019-02-07 00:00:00,75.88752289623963
2019-02-14 00:00:00,66.60771825396826
2019-02-21 00:00:00,60.57791666666667
2019-02-28 00:00:00,72.86220238095238
2019-03-07 00:00:00,71.45524801587301
2019-03-14 00:00:00,74.14978174603175
2019-03-21 00:00:00,77.75857142857143
2019-03-28 00:00:00,64.11266467065869
2019-04-04 00:00:00,54.417390873015876
2019-04-11 00:00:00,57.556448412698415
2019-04-18 00:00:00,43.53577380952381
2019-04-25 00:00:00,60.71326388888889
2019-05-02 00:00:00,57.0572123015873
2019-05-09 00:00:00,57.43256944444445
2019-05-16 00:00:00,73.66488095238095
2019-05-23 00:00:00,57.88070436507937
2019-05-30 00:00:00,53.311775793650796
2019-06-06 00:00:00,59.99967261904762
