time,Ambient temperature
yyyy-mm-dd hh:mm:ss,°C
2016-12-08 00:00:00,-19.43231169871795
2016-12-15 00:00:00,2.4617162559060146
2016-12-22 00:00:00,6.5660694444444445
2016-12-29 00:00:00,1.8753869047619047
2017-01-05 00:00:00,-3.20654010535732
2017-01-12 00:00:00,0.004206349206349207
2017-01-19 00:00:00,-0.36406746031746035
2017-01-26 00:00:00,0.39975198412698415
2017-02-02 00:00:00,0.3314285714285714
2017-02-09 00:00:00,-1.1902216427640155
2017-02-16 00:00:00,5.982382232845334
2017-02-23 00:00:00,6.608422619047619
2017-03-02 00:00:00,7.058263888888889
2017-03-09 00:00:00,6.413462301587302
2017-03-16 00:00:00,8.081535866653438
2017-03-23 00:00:00,10.278232867062494
2017-03-30 00:00:00,13.114823387340243
2017-04-06 00:00:00,10.376958151788429
2017-04-13 00:00:00,7.142297111416782
2017-04-20 00:00:00,7.517971367651538
2017-04-27 00:00:00,9.806694348794815
2017-05-04 00:00:00,10.075754830917875
2017-05-11 00:00:00,16.540972011720722
2017-05-18 00:00:00,18.750129045066508
2017-05-25 00:00:00,20.796505509778616
2017-06-01 00:00:00,17.536170634920634
2017-06-08 00:00:00,19.278680555555557
2017-06-15 00:00:00,21.08484126984127
2017-06-22 00:00:00,19.328399721863516
2017-06-29 00:00:00,17.092597026838273
2017-07-06 00:00:00,19.848373015873015
2017-07-13 00:00:00,18.9809126984127
2017-07-20 00:00:00,20.14264880952381
2017-07-27 00:00:00,22.576875250701967
2017-08-03 00:00:00,21.01697457290425
2017-08-10 00:00:00,19.40990669049037
2017-08-17 00:00:00,18.038998015873016
2017-08-24 00:00:00,19.961216994242605
2017-08-31 00:00:00,16.866448412698414
2017-09-07 00:00:00,15.161468253968254
2017-09-14 00:00:00,13.106140873015873
2017-09-21 00:00:00,14.27357142857143
2017-09-28 00:00:00,13.930456349206349
2017-10-05 00:00:00,11.003958333333333
2017-10-12 00:00:00,15.345347222222221
2017-10-19 00:00:00,12.10954365079365
2017-10-26 00:00:00,9.322440476190476
2017-11-02 00:00:00,8.288326384752828
2017-11-09 00:00:00,5.642244715689193
2017-11-16 00:00:00,5.699791666666667
2017-11-23 00:00:00,5.757410714285714
2017-11-30 00:00:00,3.5196329365079366
2017-12-07 00:00:00,6.1651388888888885
2017-12-14 00:00:00,2.1104265873015873
2017-12-21 00:00:00,5.500902777777778
2017-12-28 00:00:00,4.92061507936508
2018-01-04 00:00:00,3.6747420634920633
2018-01-11 00:00:00,1.5719742063492064
2018-01-18 00:00:00,2.718581349206349
2018-01-25 00:00:00,7.01218253968254
2018-02-01 00:00:00,0.7664980158730159
2018-02-08 00:00:00,0.3463888888888889
2018-02-15 00:00:00,1.981329365079365
2018-02-22 00:00:00,-3.9357440476190475
2018-03-01 00:00:00,-2.0416964285714285
2018-03-08 00:00:00,7.03906746031746
2018-03-15 00:00:00,-0.014176587301587301
2018-03-22 00:00:00,4.124710578842316
2018-03-29 00:00:00,7.207986111111111
2018-04-05 00:00:00,13.843690476190476
2018-04-12 00:00:00,15.527876984126983
2018-04-19 00:00:00,17.453075396825398
2018-04-26 00:00:00,14.279613095238096
2018-05-03 00:00:00,16.816626984126984
2018-05-10 00:00:00,18.253690476190478
2018-05-17 00:00:00,17.413015873015873
2018-05-24 00:00:00,22.788204365079366
2018-05-31 00:00:00,21.597539682539683
2018-06-07 00:00:00,21.307936507936507
2018-06-14 00:00:00,21.202400793650792
2018-06-21 00:00:00,16.242013888888888
2018-06-28 00:00:00,20.625406746031747
2018-07-05 00:00:00,20.09827380952381
2018-07-12 00:00:00,21.039285714285715
2018-07-19 00:00:00,23.615714285714287
2018-07-26 00:00:00,26.530396825396824
2018-08-02 00:00:00,26.31561507936508
2018-08-09 00:00:00,21.76469246031746
2018-08-16 00:00:00,22.66874007936508
2018-08-23 00:00:00,19.27626984126984
2018-08-30 00:00:00,18.733198207808833
2018-09-06 00:00:00,19.852063492063493
2018-09-13 00:00:00,18.503968253968253
2018-09-20 00:00:00,14.09094246031746
2018-09-27 00:00:00,11.87093253968254
2018-10-04 00:00:00,13.238055555555556
2018-10-11 00:00:00,16.94450396825397
2018-10-18 00:00:00,10.099007936507936
2018-10-25 00:00:00,9.169573412698412
2018-11-01 00:00:00,10.682738095238095
2018-11-08 00:00:00,9.569196428571429
2018-11-15 00:00:00,4.05719246031746
2018-11-22 00:00:00,2.3637301587301587
2018-11-29 00:00:00,4.679166666666667
2018-12-06 00:00:00,7.753263888888889
2018-12-13 00:00:00,1.6685119047619048
2018-12-20 00:00:00,5.067986111111111
2018-12-27 00:00:00,5.4524107142857146
2019-01-03 00:00:00,2.976785714285714
2019-01-10 00:00:00,3.977847222222222
2019-01-17 00:00:00,-0.819156746031746
2019-01-24 00:00:00,0.584186507936508
2019-01-31 00:00:00,1.6048511904761904
2019-02-07 00:00:00,5.338821247710376
2019-02-14 00:00:00,7.676597222222222
2019-02-21 00:00:00,6.135198412698412
2019-02-28 00:00:00,7.0691468253968255
2019-03-07 00:00:00,6.739702380952381
2019-03-14 00:00:00,6.733224206349206
2019-03-21 00:00:00,7.943928571428572
2019-03-28 00:00:00,10.094101796407186
2019-04-04 00:00:00,12.10438492063492
2019-04-11 00:00:00,7.086369047619048
2019-04-18 00:00:00,15.29642857142857
2019-04-25 00:00:00,14.284880952380952
2019-05-02 00:00:00,9.316636904761905
2019-05-09 00:00:00,11.591279761904762
2019-05-16 00:00:00,16.111795634920636
2019-05-23 00:00:00,15.970813492063492
2019-05-30 00:00:00,22.845992063492062
